Year,Professor,Topic,Question
2020,Dr. Smith,Cosmology,Explain the evidence for dark energy.
2020,Dr. Johnson,Stellar Evolution,Describe the phases of a Sun-like star.
2021,Dr. Brown,Galaxies,What is the Tully-Fisher relation?
2022,Dr. Lee,Exoplanets,How do transit and radial velocity methods differ?
2023,Dr. Davis,Cosmology,Define the Friedmann equations.
2024,Dr. Davis,ISM,What is the low-density limit of OIII emission and what does it tell us?
2020,Dr. Miller,ISM,What is the role of supernovae in the ISM?
2021,Dr. Miller,Gas Dynamics,Explain shock waves in astrophysical plasmas.
2023,Dr. Smith,Stellar Atmospheres,How is the Saha equation used?
2020,Dr. Taylor,Relativity,State and explain the equivalence principle.
2021,Dr. Thomas,Cosmology,How do we measure the Hubble constant?
2022,Dr. Lee,Galaxies,What drives spiral arm formation?
2023,Dr. Thomas,Stars,What is hydrostatic equilibrium?
2020,Dr. Lee,Gravitation,Describe two-body relaxation.
2021,Dr. Brown,Stellar Evolution,How do massive stars end their lives?
2022,Dr. Lewis,Dark Matter,What are constraints on WIMP models?
2023,Dr. Thomas,Exoplanets,Discuss habitability zones.
2021,Dr. Lewis,Cosmology,What is the cosmic microwave background?
2022,Dr. Scott,Gas Dynamics,Describe accretion disk physics.
2023,Dr. Hall,Galaxies,Compare elliptical and spiral galaxies.
2020,Dr. Thomas,Stellar Atmospheres,Explain line broadening mechanisms.
2021,Dr. Lewis,Stars,What is the main-sequence turnoff?
2022,Dr. Thomas,Relativity,What are gravitational waves?
2023,Dr. Lewis,ISM,How do molecular clouds form?
2020,Dr. Sanchez,Cosmology,What is inflation?
2021,Dr. Thomas,Exoplanets,What is transit timing variation?
2022,Dr. Thomas,Stellar Evolution,How does metallicity affect stellar evolution?
2023,Dr. Sanchez,Dark Matter,Describe evidence for dark matter.
2020,Dr. Sanchez,Galaxies,What are AGNs and how are they powered?
2021,Dr. Perez,Stellar Atmospheres,How are stellar spectra modeled?
2022,Dr. Sanchez,Cosmology,Explain BAO and its significance.
2023,Dr. Lewis,Relativity,What are the Schwarzschild and Kerr metrics?
